Province/Territory,Program Stream,Employer,Incorporate Status,Approved LMIAs,Approved Positions,NOC code,Occupation name
Quebec                                                                     ,Low Wage,Métallurgies Welmek,Unknown,1,1,72100,Machinists And Machining And Tooling Inspectors
Quebec                                                                     ,Low Wage,Métoplus,Unknown,1,1,72400,Construction Millwrights And Industrial Mechanics
Quebec                                                                     ,Low Wage,Metosak Inc.,Unknown,1,6,72100,Machinists And Machining And Tooling Inspectors
Quebec                                                                     ,Low Wage,Metosak Inc.,Unknown,2,3,94106,Machining Tool Operators
Quebec                                                                     ,Low Wage,Metro Richelieu Inc.,Unknown,1,1,62010,Retail Sales Supervisors
Quebec                                                                     ,Low Wage,Meubles Foliot Inc.,Unknown,3,5,94124,Woodworking Machine Operators
Quebec                                                                     ,Low Wage,Meubles Foliot Inc.,Unknown,7,26,94210,"Furniture And Fixture Assemblers, Finishers, Refinishers And Inspectors"
Quebec                                                                     ,Low Wage,Meunerie Agri-Tech Inc,Corporation,1,1,94140,"Process Control And Machine Operators, Food And Beverage Processing"
Quebec                                                                     ,Low Wage,Mexicom Logistics,Unknown,1,1,13201,Production And Transportation Logistics Coordinators
Quebec                                                                     ,Low Wage,Mia Bijoux,Unknown,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Mia Bijoux,Unknown,1,2,64100,Retail Salespersons And Visual Merchandisers
Quebec                                                                     ,Low Wage,Michel,Corporation,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Microbrasserie Le Naufrageur,Unknown,1,2,63200,Cooks
Quebec                                                                     ,Low Wage,"Micronics Filtration Canada, Co.",Co-operative,2,9,94132,Industrial Sewing Machine Operators
Quebec                                                                     ,Low Wage,Mid-Day Squares Inc.,Unknown,1,1,92012,"Supervisors, Food And Beverage Processing"
Quebec                                                                     ,Low Wage,Mille Pâtes Inc,Unknown,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Mi-Maintenance Industrielle Inc.,Unknown,1,1,95102,Labourers In Chemical Products Processing And Utilities
Quebec                                                                     ,Low Wage,Mitjavila Canada,Unknown,2,2,64200,"Tailors, Dressmakers, Furriers And Milliners"
Quebec                                                                     ,Low Wage,Miyagi Thai Sushi Inc.,Corporation,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Mms Laser,Unknown,1,1,72106,Welders And Related Machine Operators
Quebec                                                                     ,Low Wage,Mms Laser,Unknown,1,1,94105,Metalworking And Forging Machine Operators
Quebec                                                                     ,Low Wage,Mobilflex,Unknown,1,2,94107,Machine Operators Of Other Metal Products
Quebec                                                                     ,Low Wage,Mobilia Interiors Inc,Unknown,1,1,64409,Other Customer And Information Services Representatives
Quebec                                                                     ,Low Wage,Mobilier De Bureau Logiflex Inc.,Unknown,1,1,94210,"Furniture And Fixture Assemblers, Finishers, Refinishers And Inspectors"
Quebec                                                                     ,Low Wage,Mode Aurora Inc,Unknown,1,1,12013,"Supervisors, Supply Chain, Tracking And Scheduling Coordination Occupations"
Quebec                                                                     ,Low Wage,Mode Aurora Inc,Unknown,1,1,14400,Shippers And Receivers
Quebec                                                                     ,Low Wage,Mode Aurora Inc,Unknown,1,1,64101,Sales And Account Representatives - Wholesale Trade (Non-Technical)
Quebec                                                                     ,Low Wage,Montmorency Ford (1997) Inc.,Unknown,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Montréal Centre Sports Inc,Unknown,2,3,62010,Retail Sales Supervisors
Quebec                                                                     ,Low Wage,Montréal Centre Sports Inc,Unknown,1,1,64100,Retail Salespersons And Visual Merchandisers
Quebec                                                                     ,Low Wage,Montreal Life Financial Group Ltd.,Unknown,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Montreal Neon Signs Inc.,Unknown,1,1,22302,Industrial Engineering And Manufacturing Technologists And Technicians
Quebec                                                                     ,Low Wage,Montreal Visa Inc.,Unknown,1,1,12200,Accounting Technicians And Bookkeepers
Quebec                                                                     ,Low Wage,Morneau Transport,Unknown,1,2,72410,"Automotive Service Technicians, Truck And Bus Mechanics And Mechanical Repairers"
Quebec                                                                     ,Low Wage,Morneau Transport,Unknown,1,1,73300,Transport Truck Drivers
Quebec                                                                     ,Low Wage,Morneau Transport,Unknown,1,1,74203,Automotive And Heavy Truck And Equipment Parts Installers And Servicers
Quebec                                                                     ,Low Wage,Mosquée Markaz-Ul-Imane,Unknown,1,1,42202,Early Childhood Educators And Assistants
Quebec                                                                     ,Low Wage,Motel Boulevard Cartier Inc.,Unknown,1,1,65310,Light Duty Cleaners
Quebec                                                                     ,Low Wage,Motel La Colonie Inc.,Unknown,1,1,14101,Receptionists
Quebec                                                                     ,Low Wage,Motel Vue Belvédère Inc,Corporation,1,3,65310,Light Duty Cleaners
Quebec                                                                     ,Low Wage,Mount Pleasant Cemetery,Unknown,1,1,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Mp Renaud-Vation Inc,Unknown,1,1,72310,Carpenters
Quebec                                                                     ,Low Wage,Mty Tiki Ming Enterprise Inc.,Unknown,1,1,52120,Graphic Designers And Illustrators
Quebec                                                                     ,Low Wage,Multi Solutions M.R.B. Inc,Unknown,1,3,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Multi-Moulures,Unknown,2,2,95101,Labourers In Metal Fabrication
Quebec                                                                     ,Low Wage,Multiver Ltée,Unknown,2,5,94102,Glass Forming And Finishing Machine Operators And Glass Cutters
Quebec                                                                     ,Low Wage,Mva Puissance Inc / Mva Power,Unknown,1,1,14101,Receptionists
Quebec                                                                     ,Low Wage,N&N Remorques Inc.,Unknown,2,8,72106,Welders And Related Machine Operators
Quebec                                                                     ,Low Wage,N2 Furniture Inc.,Unknown,1,1,13100,Administrative Officers
Quebec                                                                     ,Low Wage,Nagas Innovation,Unknown,2,4,94204,Mechanical Assemblers And Inspectors
Quebec                                                                     ,Low Wage,Nakamura Sushi Inc,Unknown,1,1,63202,Bakers
Quebec                                                                     ,Low Wage,Nature 3M Inc.,Unknown,2,3,94130,"Textile Fibre And Yarn, Hide And Pelt Processing Machine Operators And Workers"
Quebec                                                                     ,Low Wage,Nature 3M Inc.,Unknown,1,4,94132,Industrial Sewing Machine Operators
Quebec                                                                     ,Low Wage,Naz-Air Inc,Unknown,2,2,72402,"Heating, Refrigeration And Air Conditioning Mechanics"
Quebec                                                                     ,Low Wage,Nettoyage Guechou Inc,Unknown,1,1,65310,Light Duty Cleaners
Quebec                                                                     ,Low Wage,Nettoyeur Gy-Ro,Unknown,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Newrest Montreal Corporation,Unknown,1,9,62020,Food Service Supervisors
Quebec                                                                     ,Low Wage,Nicoletti Pneus Et Mécanique Inc.,Unknown,1,1,72410,"Automotive Service Technicians, Truck And Bus Mechanics And Mechanical Repairers"
Quebec                                                                     ,Low Wage,Nicoletti Pneus Et Mécanique Inc.,Unknown,1,1,74203,Automotive And Heavy Truck And Equipment Parts Installers And Servicers
Quebec                                                                     ,Low Wage,Nicoletti Pneus Et Mécanique Inc.,Unknown,1,1,75101,Material Handlers
Quebec                                                                     ,Low Wage,Nile Meat,Corporation,1,1,63201,Butchers - Retail And Wholesale
Quebec                                                                     ,Low Wage,Nina Pizza St-Jean,Unknown,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Nobiles Le Traiteur Inc,Corporation,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Nordikeau Inc,Corporation,1,1,92101,Water And Waste Treatment Plant Operators
Quebec                                                                     ,Low Wage,Nordtrans Inc.,Unknown,1,1,64100,Retail Salespersons And Visual Merchandisers
Quebec                                                                     ,Low Wage,Norgate Métal 2012 Inc,Unknown,1,2,72106,Welders And Related Machine Operators
Quebec                                                                     ,Low Wage,Normand Et Filles Inc.,Unknown,1,1,63202,Bakers
Quebec                                                                     ,Low Wage,Nortop Canada Inc.,Unknown,1,1,72410,"Automotive Service Technicians, Truck And Bus Mechanics And Mechanical Repairers"
Quebec                                                                     ,Low Wage,Nouveau Pizza Charlevoix,Corporation,1,1,62020,Food Service Supervisors
Quebec                                                                     ,Low Wage,Nova Soins A Domicile,Unknown,1,1,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Novaflex Inc,Unknown,1,1,52111,Graphic Arts Technicians
Quebec                                                                     ,Low Wage,N-Styl Construction Inc.,Unknown,1,1,22212,Drafting Technologists And Technicians
Quebec                                                                     ,Low Wage,Nuovo Photography Inc,Unknown,1,1,64101,Sales And Account Representatives - Wholesale Trade (Non-Technical)
Quebec                                                                     ,Low Wage,O6 Sens | Le Plaisir De La Table Dans Le Noir,Corporation,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Quebec                                                                     ,Low Wage,Oasis Du Repos,Corporation,2,6,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Oeuf Plus 2,Corporation,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Oft Experts En Entretien,Corporation,1,3,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Olymel S.E.C / L.P,Unknown,1,5,95106,Labourers In Food And Beverage Processing
Quebec                                                                     ,Low Wage,Olymel S.E.C.,Unknown,2,2,84120,Specialized Livestock Workers And Farm Machinery Operators
Quebec                                                                     ,Low Wage,Olymel S.E.C/L.P,Unknown,1,20,94141,"Industrial Butchers And Meat Cutters, Poultry Preparers And Related Workers"
Quebec                                                                     ,Low Wage,Olymel S.E.C/L.P,Unknown,1,9,95106,Labourers In Food And Beverage Processing
Quebec                                                                     ,Low Wage,Ongles Maily (2009) Inc.,Unknown,1,1,13100,Administrative Officers
Quebec                                                                     ,Low Wage,Optimoule Inc,Unknown,1,1,72101,Tool And Die Makers
Quebec                                                                     ,Low Wage,Ouellet Canada Inc.,Unknown,1,1,72422,Electrical Mechanics
Quebec                                                                     ,Low Wage,Outillage De Précision Drummond,Unknown,1,1,94105,Metalworking And Forging Machine Operators
Quebec                                                                     ,Low Wage,Outillage De Précision Drummond,Unknown,1,1,94106,Machining Tool Operators
Quebec                                                                     ,Low Wage,Outillages Norvik Tooling Inc.,Unknown,1,1,13201,Production And Transportation Logistics Coordinators
Quebec                                                                     ,Low Wage,Oxygène Dolbeau,Unknown,1,1,22212,Drafting Technologists And Technicians
Quebec                                                                     ,Low Wage,Paber Aluminium Inc.,Unknown,1,1,72400,Construction Millwrights And Industrial Mechanics
Quebec                                                                     ,Low Wage,Pain Toasté,Unknown,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Pain Toasté,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Quebec                                                                     ,Low Wage,Pales D'Éoliennes Lm Canada Inc.,Unknown,3,55,94212,"Plastic Products Assemblers, Finishers And Inspectors"
Quebec                                                                     ,Low Wage,Pampev Inc.,Corporation,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Panorama Digital,Unknown,1,1,11202,"Professional Occupations In Advertising, Marketing And Public Relations"
Quebec                                                                     ,Low Wage,Paquin Et Associés Inc,Unknown,1,1,12200,Accounting Technicians And Bookkeepers
Quebec                                                                     ,Low Wage,Partenaires Lafontaine Inc.,Unknown,1,1,12100,Executive Assistants
Quebec                                                                     ,Low Wage,Patates Dolbec Inc.,Corporation,2,3,65312,"Janitors, Caretakers And Heavy-Duty Cleaners"
Quebec                                                                     ,Low Wage,Pâtes Partout Inc,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Quebec                                                                     ,Low Wage,Pâtisserie Gérard Rolland Inc,Unknown,1,1,63202,Bakers
Quebec                                                                     ,Low Wage,Pâtisserie Le Fraisier Inc.,Sole Proprietorship,1,1,63202,Bakers
Quebec                                                                     ,Low Wage,Pâtisserie Mont Éclair Inc,Unknown,1,1,63202,Bakers
Quebec                                                                     ,Low Wage,Patisserie Polonaise Wawel,Corporation,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Pavage & Aménagement Paysager Antonio Borsellino Inc,Unknown,1,3,75110,Construction Trades Helpers And Labourers
Quebec                                                                     ,Low Wage,Pavé Et Paysagiste Boisbriand Inc.,Unknown,1,16,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Pavillon Des Milles-Fleurs,Unknown,1,2,32101,Licensed Practical Nurses
Quebec                                                                     ,Low Wage,Pavillon Ste-Anne Rsg Inc.,Unknown,2,2,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Paysaco Inc.,Unknown,2,25,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Paysagement Philippe Favreau Inc.,Corporation,2,3,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Paysages Rossignol Inc.,Unknown,1,15,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Paysagiste Légaré,Unknown,1,1,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Paysaplus Inc.,Unknown,1,1,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Pearfiction Studios,Corporation,1,1,22222,Information Systems Testing Technicians
Quebec                                                                     ,Low Wage,Pêcheries De L'Estuaire Inc.,Unknown,1,1,94142,Fish And Seafood Plant Workers
Quebec                                                                     ,Low Wage,Pêcheries Léomar Inc.,Unknown,1,1,73300,Transport Truck Drivers
Quebec                                                                     ,Low Wage,Pelican International Inc,Unknown,1,2,12013,"Supervisors, Supply Chain, Tracking And Scheduling Coordination Occupations"
Quebec                                                                     ,Low Wage,Pelican International Inc,Unknown,1,1,94212,"Plastic Products Assemblers, Finishers And Inspectors"
Quebec                                                                     ,Low Wage,Pépinière Abbotsford Inc.,Unknown,1,1,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Pépinière Janelle Et Fils Inc,Unknown,1,6,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Perfection Inc.,Corporation,4,4,64200,"Tailors, Dressmakers, Furriers And Milliners"
Quebec                                                                     ,Low Wage,Perreault Pièces D'Autos Inc,Corporation,1,1,14400,Shippers And Receivers
Quebec                                                                     ,Low Wage,Peskero,Corporation,1,3,63200,Cooks
Quebec                                                                     ,Low Wage,Peskero,Corporation,1,3,63200,Cooks
Quebec                                                                     ,Low Wage,Ph Tech Inc.,Unknown,2,4,94111,Plastics Processing Machine Operators
Quebec                                                                     ,Low Wage,"Pharmacie Daniel Desgagné, Keven Baril Et Mélanie Bergeron Inc.",Unknown,1,1,33103,Pharmacy Technical Assistants And Pharmacy Assistants
Quebec                                                                     ,Low Wage,Pharmacie Philippe Tuan-Minh Vo Inc.,Unknown,1,1,33103,Pharmacy Technical Assistants And Pharmacy Assistants
Quebec                                                                     ,Low Wage,Pharmacie Samia Ould Braham Inc.,Unknown,1,1,33103,Pharmacy Technical Assistants And Pharmacy Assistants
Quebec                                                                     ,Low Wage,Philippe Gosselin Et Associés Ltée,Corporation,1,4,73300,Transport Truck Drivers
Quebec                                                                     ,Low Wage,Piazzetta Ste Catherine,Corporation,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Quebec                                                                     ,Low Wage,Pieces Auto Fgm,Unknown,1,1,74203,Automotive And Heavy Truck And Equipment Parts Installers And Servicers
Quebec                                                                     ,Low Wage,Pierre & Camille Dupuis Inc,Unknown,1,1,73300,Transport Truck Drivers
Quebec                                                                     ,Low Wage,Pierre Naud Inc,Corporation,1,6,94212,"Plastic Products Assemblers, Finishers And Inspectors"
Quebec                                                                     ,Low Wage,Pizza Dominos,Corporation,1,2,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Quebec                                                                     ,Low Wage,Pizza Tifosi,Corporation,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Quebec                                                                     ,Low Wage,Pizzeria No900 Tm Qds,Unknown,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Pizzeria Sofia,Corporation,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Plastiques Ys Inc.,Unknown,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Plastiques Ys Inc.,Unknown,2,2,94122,Paper Converting Machine Operators
Quebec                                                                     ,Low Wage,Plengke Inc.,Unknown,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Plessitech Inc,Unknown,1,8,72400,Construction Millwrights And Industrial Mechanics
Quebec                                                                     ,Low Wage,Plomberie Vip Montréal Inc,Corporation,1,1,75110,Construction Trades Helpers And Labourers
Quebec                                                                     ,Low Wage,Pmp Pessoa Inc,Unknown,1,2,85121,Landscaping And Grounds Maintenance Labourers
Quebec                                                                     ,Low Wage,Podo-Logic Inc.,Unknown,1,1,64101,Sales And Account Representatives - Wholesale Trade (Non-Technical)
Quebec                                                                     ,Low Wage,Point 1 Displays Inc.,Unknown,1,1,12102,Procurement And Purchasing Agents And Officers
Quebec                                                                     ,Low Wage,Poirier Chrysler Jeep Dodge Ltée,Unknown,1,2,72410,"Automotive Service Technicians, Truck And Bus Mechanics And Mechanical Repairers"
Quebec                                                                     ,Low Wage,Poissonerie Fortier Et Frères Inc.,Unknown,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Polycor Inc.,Unknown,2,2,94103,"Concrete, Clay And Stone Forming Operators"
Quebec                                                                     ,Low Wage,Pomerleau Inc.,Unknown,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Porc Du Rang 4,Unknown,3,3,95106,Labourers In Food And Beverage Processing
Quebec                                                                     ,Low Wage,Portes Et Fenêtres Isothermic Inc.,Unknown,1,1,75101,Material Handlers
Quebec                                                                     ,Low Wage,Portes Et Fenêtres Isothermic Inc.,Unknown,1,4,94211,Assemblers And Inspectors Of Other Wood Products
Quebec                                                                     ,Low Wage,Portes Unies St-Michel (Pusm) S.E.C.,Unknown,1,1,94211,Assemblers And Inspectors Of Other Wood Products
Quebec                                                                     ,Low Wage,"Poseidon ""Les Poissons Et Crustacés""Inc",Unknown,2,81,95107,Labourers In Fish And Seafood Processing
Quebec                                                                     ,Low Wage,Poulet Rouge Capitale,Corporation,1,1,62020,Food Service Supervisors
Quebec                                                                     ,Low Wage,Poulet Rouge Capitale,Corporation,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Quebec                                                                     ,Low Wage,Pourvoirie Waban-Aki (2008) Inc.,Unknown,1,1,65310,Light Duty Cleaners
Quebec                                                                     ,Low Wage,Power Q Inc,Corporation,1,2,95109,"Other Labourers In Processing, Manufacturing And Utilities"
Quebec                                                                     ,Low Wage,Powercast Manufacturing Inc,Unknown,2,3,94101,Foundry Workers
Quebec                                                                     ,Low Wage,Prakriti Sante Holistique Inc,Unknown,1,3,63200,Cooks
Quebec                                                                     ,Low Wage,Prématernelle Touraine,Corporation,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Premier Tech,Unknown,1,6,73200,Residential And Commercial Installers And Servicers
Quebec                                                                     ,Low Wage,Préscolaire Montessori De Gatineau Inc.,Corporation,1,1,42202,Early Childhood Educators And Assistants
Quebec                                                                     ,Low Wage,Presse Café,Corporation,1,1,63200,Cooks
Quebec                                                                     ,Low Wage,Preverco,Unknown,2,3,94124,Woodworking Machine Operators
Quebec                                                                     ,Low Wage,Preverco,Unknown,1,3,95103,"Labourers In Wood, Pulp And Paper Processing"
Quebec                                                                     ,Low Wage,Principale Autos Ltée,Unknown,3,3,65311,Specialized Cleaners
Quebec                                                                     ,Low Wage,Priority Payments Inc,Unknown,1,1,62100,Technical Sales Specialists - Wholesale Trade
Quebec                                                                     ,Low Wage,Pro Soins Inc,Corporation,1,1,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Proceco Ltée / Proceco Ltd.,Unknown,1,1,94105,Metalworking And Forging Machine Operators
Quebec                                                                     ,Low Wage,Productions Lamajeure Inc.,Unknown,1,1,12200,Accounting Technicians And Bookkeepers
Quebec                                                                     ,Low Wage,Productions Welcome Aboard,Unknown,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Produits Alimentaire Lm Inc,Unknown,1,1,63201,Butchers - Retail And Wholesale
Quebec                                                                     ,Low Wage,Produits American Biltrite Ltée,Unknown,1,1,94112,Rubber Processing Machine Operators And Related Workers
Quebec                                                                     ,Low Wage,Produits Chimiques Acp Chemicals Inc,Unknown,1,1,22100,Chemical Technologists And Technicians
Quebec                                                                     ,Low Wage,Produits De Sécurité Unik Inc.,Corporation,1,1,13201,Production And Transportation Logistics Coordinators
Quebec                                                                     ,Low Wage,Produits De Sécurité Unik Inc.,Corporation,1,1,94132,Industrial Sewing Machine Operators
Quebec                                                                     ,Low Wage,Produits Grisspasta Ltée,Unknown,1,1,72422,Electrical Mechanics
Quebec                                                                     ,Low Wage,Produits Grisspasta Ltée,Unknown,1,1,94140,"Process Control And Machine Operators, Food And Beverage Processing"
Quebec                                                                     ,Low Wage,Produits Grisspasta Ltée,Unknown,2,4,95106,Labourers In Food And Beverage Processing
Quebec                                                                     ,Low Wage,Produits Hévéa Inc.,Unknown,1,1,22302,Industrial Engineering And Manufacturing Technologists And Technicians
Quebec                                                                     ,Low Wage,Produits Intégrés Avior Inc.,Unknown,1,3,72100,Machinists And Machining And Tooling Inspectors
Quebec                                                                     ,Low Wage,Produits Matra Inc,Unknown,1,1,94124,Woodworking Machine Operators
Quebec                                                                     ,Low Wage,Produits Neptune Inc,Unknown,1,1,14400,Shippers And Receivers
Quebec                                                                     ,Low Wage,Produits Services Publics Innova Inc,Unknown,1,1,95101,Labourers In Metal Fabrication
Quebec                                                                     ,Low Wage,Pro-Imm Québec Inc.,Partnership,1,1,73200,Residential And Commercial Installers And Servicers
Quebec                                                                     ,Low Wage,Prolam Société En Commandite,Unknown,2,2,72422,Electrical Mechanics
Quebec                                                                     ,Low Wage,Prolam Société En Commandite,Unknown,2,2,94211,Assemblers And Inspectors Of Other Wood Products
Quebec                                                                     ,Low Wage,Pro-Mec Élite Inc.,Unknown,1,1,14403,Purchasing And Inventory Control Workers
Quebec                                                                     ,Low Wage,Pro-Métal Plus,Sole Proprietorship,1,2,72106,Welders And Related Machine Operators
Quebec                                                                     ,Low Wage,Promographe,Partnership,1,1,52111,Graphic Arts Technicians
Quebec                                                                     ,Low Wage,Prototype Gf Inc.,Sole Proprietorship,1,2,72106,Welders And Related Machine Operators
Quebec                                                                     ,Low Wage,Psk Consultation,Unknown,1,1,62023,Customer And Information Services Supervisors
Quebec                                                                     ,Low Wage,Qualiport Transport Inc.,Unknown,1,3,73300,Transport Truck Drivers
Quebec                                                                     ,Low Wage,Qualité Étudiants Inc.,Unknown,1,1,73112,Painters And Decorators (Except Interior Decorators)
Quebec                                                                     ,Low Wage,Quartier Hockey Inc,Unknown,1,1,65211,"Operators And Attendants In Amusement, Recreation And Sport"
Quebec                                                                     ,Low Wage,Québec Pro-Pli Inc,Unknown,2,2,94105,Metalworking And Forging Machine Operators
Quebec                                                                     ,Low Wage,Racine Petits Fruits 2014 Inc.,Unknown,1,4,75101,Material Handlers
Quebec                                                                     ,Low Wage,Rad Équipements Inc,Unknown,1,1,94105,Metalworking And Forging Machine Operators
Quebec                                                                     ,Low Wage,Raiko Transport Inc.,Unknown,1,1,72422,Electrical Mechanics
Quebec                                                                     ,Low Wage,Rakotta Holdings Inc.,Unknown,1,1,73201,General Building Maintenance Workers And Building Superintendents
Quebec                                                                     ,Low Wage,Rampes Avant-Garde Inc.,Unknown,1,1,94105,Metalworking And Forging Machine Operators
Quebec                                                                     ,Low Wage,Raymond Lanctôt Ltée,Unknown,1,1,14403,Purchasing And Inventory Control Workers
Quebec                                                                     ,Low Wage,Re/Max Platine Inc.,Unknown,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Rechapage Ray Inc.,Unknown,1,1,94106,Machining Tool Operators
Quebec                                                                     ,Low Wage,Récupération Delisle Inc.,Unknown,1,1,72401,Heavy-Duty Equipment Mechanics
Quebec                                                                     ,Low Wage,Récupération Delisle Inc.,Unknown,1,3,73200,Residential And Commercial Installers And Servicers
Quebec                                                                     ,Low Wage,Recycleur Duvernay Inc,Unknown,1,1,72410,"Automotive Service Technicians, Truck And Bus Mechanics And Mechanical Repairers"
Quebec                                                                     ,Low Wage,Reel Aluminium Inc.,Unknown,2,2,72106,Welders And Related Machine Operators
Quebec                                                                     ,Low Wage,Refexio Inc.,Corporation,1,1,65311,Specialized Cleaners
Quebec                                                                     ,Low Wage,Refraco,Unknown,1,1,12200,Accounting Technicians And Bookkeepers
Quebec                                                                     ,Low Wage,Reine Des Fleurs Inc.,Unknown,1,1,64100,Retail Salespersons And Visual Merchandisers
Quebec                                                                     ,Low Wage,Réjean Thibault Automobiles Inc.,Unknown,1,1,72411,"Auto Body Collision, Refinishing And Glass Technicians And Damage Repair Estimators"
Quebec                                                                     ,Low Wage,Rematek Énergie Inc.,Unknown,1,1,14401,Storekeepers And Partspersons
Quebec                                                                     ,Low Wage,Remorquage Loyer Et Fils Inc.,Unknown,1,1,73300,Transport Truck Drivers
Quebec                                                                     ,Low Wage,Renaissance Québec,Non-Profit Organization,1,1,62010,Retail Sales Supervisors
Quebec                                                                     ,Low Wage,René Brunelle Et Fils Inc.,Corporation,1,2,75201,Delivery Service Drivers And Door-To-Door Distributors
Quebec                                                                     ,Low Wage,René Matériaux Composites,Unknown,1,1,72100,Machinists And Machining And Tooling Inspectors
Quebec                                                                     ,Low Wage,René Matériaux Composites,Unknown,1,1,94212,"Plastic Products Assemblers, Finishers And Inspectors"
Quebec                                                                     ,Low Wage,Rennspa Auto Body Inc.,Unknown,1,1,72411,"Auto Body Collision, Refinishing And Glass Technicians And Damage Repair Estimators"
Quebec                                                                     ,Low Wage,Renovation Et Restauration Après Sinistre Renovco Inc,Unknown,1,1,72311,Cabinetmakers
Quebec                                                                     ,Low Wage,Rénovation Multi Service S.M. Inc.,Unknown,1,1,72311,Cabinetmakers
Quebec                                                                     ,Low Wage,Repère Boréal Inc,Unknown,1,1,14101,Receptionists
Quebec                                                                     ,Low Wage,Reprodoc Inc.,Unknown,1,1,73401,Printing Press Operators
Quebec                                                                     ,Low Wage,Résidence Adisson S.E.N.C,Unknown,1,1,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Résidence Bourg-Joli,Corporation,1,1,13110,Administrative Assistants
Quebec                                                                     ,Low Wage,Residence Brigitte Gagnon Inc.,Unknown,1,2,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Résidence Cadillac Inc,Unknown,1,1,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Residence Cormier Inc,Unknown,1,2,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Résidence De La Côte D'Azur,Unknown,1,1,65310,Light Duty Cleaners
Quebec                                                                     ,Low Wage,Résidence Des Patriotes De Saint-Eustache S.E.C.,Unknown,1,5,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Résidence Des Tulipes,Corporation,1,1,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Résidence Du Boisé Ensoleillé,Unknown,1,1,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Résidence Du Boulevard Granby Inc.,Unknown,1,2,33102,"Nurse Aides, Orderlies And Patient Service Associates"
Quebec                                                                     ,Low Wage,Résidence Entre-Deux,Unknown,1,1,33102,"Nurse Aides, Orderlies And Patient Service Associates"
